38,25,25,25,25,0,0,0,24,0,0,28,25,25,25,48,25,33,25,25,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,24,0,0,0,4,0,24,2,14,0,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,42,0,0,0,8,0,0,9,6,8,15,6,9,0,0,0
25,25,7,31,0,4,12,0,42,3,0,8,10,3,0,3,0,0,0,5,0,0,0,0,0,0,3,5,7,3,23,0,0,0,9,0,0,6,0,0,8,0,10,4,0,3,0,0,3,8,0,10,0,0,0,0,8,2,0,0,0,14,0,9,0,0,0,5,0,0,0,10,0,0,0,3,34,47,10,0,10,0,0,0,0,6,5,0,6,2,0,5,0,0,4,10,5,2,10,0,0
25,41,52,29,0,14,0,2,0,3,8,24,9,0,24,24,24,24,24,24,24,24,24,24,24,0,25,25,30,25,31,25,25,34,31,30,25,25,26,25,25,25,30,25,43,0,25,25,33,25,25,25,37,29,25,25,25,25,27,25,32,25,26,25,25,32,25,25,25,25,25,25,34,25,25,26,28,25,25,25,34,25,25,25,37,25,25,25,25,25,25,25,25,25,25,25,25,27,25,25,34
25,26,31,25,25,25,31,31,27,25,25,25,25,25,27,25,25,26,25,25,30,25,25,25,29,25,25,25,25,25,25,30,25,25,25,25,28,32,6,28,25,25,25,48,25,25,27,29,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,27,27,28,25,25,25,31,32,25,25,25,32,25,25,26,25,31,26,25,25,25,31,25,27,25,25,1,25,25,25,38,48,41,30,36,25,25
0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8,2,0,8,8,0,0,0,8,0,0,0,0,8,0,0,8,8,8,4,52,52,52,34,52,0,11,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,8,0,0,0,0,0,0,0,52,52,28,3,8,8,23,0,0,43,0,0,8,0,53,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11,0,52,52,52,10,0,47,0,2,0,7,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,22,0,0,0,0,0,0,11,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,52,52,52,52,52,52,0,0,0,0,9,0,0,2,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,50,50,50,50,50,2,0,0,0,0,20,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50,50,50,50,50,50,50,50,50,50,50,50,0,50,0,0,0,0,34,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,7,0,7,0,0,0,0,0,6,0,0,1,0,0,1,0
10,5,0,7,25,25,19,25,25,0,0,0,0,0,0,0,18,9,25,37,27,25,25,25,25,25,25,25,6,25,25,25,25,25,25,25,25,25,25,25,18,25,25,25,31,28,25,32,25,25,32,25,25,25,25,25,25,25,25,25,25,25,25,26,27,25,25,28,26,25,27,25,25,25,27,52,52,52,52,52,10,0,0,25,25,25,25,25,32,25,25,25,25,25,25,25,37,28,25,25,25
15,15,0,0,44,0,2,0,0,0,14,0,15,0,0,5,6,0,2,3,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,6,25,25,25,25,25,25,26,28,25,26,25,26,25,32,25,25,45,25,25,25,25,25,51,28,51,0,2,0,0,0,0,51,51,51,51,51,50,51,51,51,51,0,2,0,14,9,0,0,0,9,46,0,6,6,0,0,42,9,0,13,0,0,0,0,4
25,25,25,25,26,25,29,25,25,0,3,3,0,6,0,0,4,0,0,14,25,32,25,33,25,25,25,37,29,37,34,29,29,25,25,25,25,25,25,32,27,38,25,31,25,46,34,25,27,25,25,26,25,28,29,25,36,31,30,25,2,3,0,0,9,5,3,0,2,25,29,25,25,32,25,25,25,25,25,25,25,25,25,25,27,25,31,25,25,30,31,25,39,31,25,25,25,25,32,25,32
52,52,52,52,52,52,52,52,52,44,52,52,52,52,52,52,52,52,52,52,52,0,0,51,0,0,10,0,0,9,2,4,0,7,0,0,0,0,4,0,0,0,49,0,0,0,0,0,0,0,4,7,0,0,0,0,0,8,13,0,0,0,0,0,0,6,2,0,0,2,0,0,8,45,0,11,9,0,0,5,2,0,0,0,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0,51,0
0,0,0,9,4,0,4,14,12,50,0,0,6,52,52,52,0,0,0,0,4,0,31,0,41,8,0,0,45,0,0,0,0,2,0,2,18,8,0,0,0,8,0,2,5,7,12,9,13,0,0,0,2,0,15,27,0,2,9,5,3,38,4,0,0,0,8,8,0,31,25,25,25,39,25,16,25,44,25,0,9,0,0,15,31,0,4,0,0,0,4,0,9,18,0,0,0,0,0,4,0
18,51,25,25,51,51,51,34,46,52,52,52,52,52,52,52,52,0,0,9,0,2,0,51,23,0,2,0,52,52,52,52,28,25,25,25,32,36,25,28,32,25,26,0,51,2,2,1,0,23,0,2,5,0,2,27,2,0,9,0,5,8,0,38,52,52,52,52,52,52,52,52,52,2,7,12,5,0,32,0,0,0,0,3,17,0,23,0,0,8,2,3,0,0,0,2,3,0,4,9,42
